Steppingstone sampler:
        No Stones:                  100
        Start It:                   200501
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-43.952578	-43.952578
1	0.950747	750	-43.271772	-87.224349
2	0.926679	750	-42.618738	-129.843087
3	0.902980	750	-41.955320	-171.798407
4	0.879648	750	-41.307521	-213.105927
5	0.856682	750	-40.683939	-253.789866
6	0.834079	750	-40.017355	-293.807221
7	0.811838	750	-39.383603	-333.190824
8	0.789957	750	-38.742658	-371.933482
9	0.768433	750	-38.116843	-410.050324
10	0.747266	750	-37.495566	-447.545891
11	0.726452	750	-36.866068	-484.411959
12	0.705989	750	-36.241968	-520.653927
13	0.685877	750	-35.637111	-556.291038
14	0.666112	750	-35.008824	-591.299862
15	0.646693	750	-34.402853	-625.702716
16	0.627618	750	-33.805139	-659.507854
17	0.608884	750	-33.176124	-692.683978
18	0.590490	750	-32.585745	-725.269722
19	0.572433	750	-31.991563	-757.261285
20	0.554712	750	-31.399050	-788.660335
21	0.537324	750	-30.816998	-819.477333
22	0.520268	750	-30.218665	-849.695998
23	0.503540	750	-29.649860	-879.345858
24	0.487139	750	-29.067045	-908.412903
25	0.471063	750	-28.496786	-936.909689
26	0.455310	750	-27.908202	-964.817890
27	0.439877	750	-27.366201	-992.184091
28	0.424762	750	-26.782223	-1018.966315
29	0.409963	750	-26.237400	-1045.203715
30	0.395478	750	-25.672226	-1070.875941
31	0.381305	750	-25.121403	-1095.997343
32	0.367440	750	-24.579943	-1120.577287
33	0.353883	750	-24.031151	-1144.608438
34	0.340630	750	-23.488529	-1168.096967
35	0.327680	750	-22.973139	-1191.070106
36	0.315030	750	-22.442981	-1213.513087
37	0.302677	750	-21.917349	-1235.430435
38	0.290619	750	-21.392987	-1256.823422
39	0.278855	750	-20.878751	-1277.702174
40	0.267381	750	-20.368908	-1298.071082
41	0.256195	750	-19.861413	-1317.932495
42	0.245294	750	-19.347404	-1337.279899
43	0.234677	750	-18.839837	-1356.119736
44	0.224340	750	-18.352577	-1374.472313
45	0.214281	750	-17.862746	-1392.335059
46	0.204498	750	-17.381905	-1409.716964
47	0.194988	750	-16.903269	-1426.620233
48	0.185749	750	-16.422010	-1443.042243
49	0.176777	750	-15.933173	-1458.975416
50	0.168070	750	-15.486319	-1474.461735
51	0.159626	750	-15.021005	-1489.482740
52	0.151441	750	-14.562278	-1504.045018
53	0.143514	750	-14.090096	-1518.135114
54	0.135841	750	-13.641455	-1531.776569
55	0.128420	750	-13.195861	-1544.972430
56	0.121247	750	-12.781623	-1557.754053
57	0.114320	750	-12.338932	-1570.092985
58	0.107637	750	-11.917764	-1582.010750
59	0.101193	750	-11.484376	-1593.495125
60	0.094986	750	-11.088834	-1604.583959
61	0.089014	750	-10.651905	-1615.235864
62	0.083273	750	-10.253354	-1625.489218
63	0.077760	750	-9.840771	-1635.329989
64	0.072472	750	-9.444348	-1644.774337
65	0.067406	750	-9.065341	-1653.839679
66	0.062558	750	-8.676490	-1662.516168
67	0.057926	750	-8.290532	-1670.806700
68	0.053506	750	-7.936723	-1678.743422
69	0.049295	750	-7.549851	-1686.293273
70	0.045289	750	-7.189195	-1693.482468
71	0.041485	750	-6.872750	-1700.355218
72	0.037880	750	-6.498999	-1706.854217
73	0.034469	750	-6.157356	-1713.011573
74	0.031250	750	-5.809138	-1718.820711
75	0.028218	750	-5.517604	-1724.338315
76	0.025370	750	-5.183011	-1729.521325
77	0.022702	750	-4.849743	-1734.371068
78	0.020209	750	-4.541504	-1738.912572
79	0.017889	750	-4.248715	-1743.161287
80	0.015736	750	-3.980036	-1747.141323
81	0.013746	750	-3.680449	-1750.821772
82	0.011916	750	-3.420716	-1754.242487
83	0.010240	750	-3.115398	-1757.357886
84	0.008714	750	-2.841373	-1760.199258
85	0.007334	750	-2.604474	-1762.803733
86	0.006093	750	-2.363378	-1765.167111
87	0.004988	750	-2.086555	-1767.253665
88	0.004013	750	-1.845570	-1769.099236
89	0.003162	750	-1.646585	-1770.745820
90	0.002430	750	-1.435534	-1772.181354
91	0.001810	750	-1.183961	-1773.365315
92	0.001296	750	-1.006541	-1774.371856
93	0.000882	750	-0.810065	-1775.181921
94	0.000559	750	-0.642448	-1775.824369
95	0.000320	750	-0.473169	-1776.297537
96	0.000156	750	-0.325246	-1776.622783
97	0.000057	750	-0.196173	-1776.818956
98	0.000010	750	-0.092717	-1776.911673
99	0.000000	750	-0.019785	-1776.931458
Log marginal likelihood:	-1776.931458
